period,value
1996-01-01,0.873983323574066
1998-01-01,0.854953348636627
2000-01-01,1.12142467498779
2002-01-01,0.928577423095703
2003-01-01,1.06150567531586
2004-01-01,1.11596786975861
2005-01-01,0.946494877338409
2006-01-01,0.841323614120483
2007-01-01,0.939814209938049
2008-01-01,0.92218691110611
2009-01-01,0.826832592487335
2010-01-01,0.590241730213165
2011-01-01,0.432440459728241
2012-01-01,0.462077081203461
2013-01-01,0.459530204534531
2014-01-01,0.734907329082489
2015-01-01,0.7780522108078
2016-01-01,0.749765634536743
2017-01-01,0.749311625957489
2018-01-01,0.642036437988281
2019-01-01,0.589168727397919
2020-01-01,0.419728547334671
2021-01-01,0.431887984275818
2022-01-01,0.529911398887634
