period,value
1996-01-01,0.57122015953064
1998-01-01,-0.0381234660744667
2000-01-01,0.0926911979913712
2002-01-01,0.539594113826752
2003-01-01,0.485534876585007
2004-01-01,0.34800398349762
2005-01-01,0.566449165344238
2006-01-01,0.288379698991776
2007-01-01,0.193307161331177
2008-01-01,0.108542367815971
2009-01-01,-0.0416609197854996
2010-01-01,0.143352136015892
2011-01-01,0.0774097666144371
2012-01-01,-0.00521240243688226
2013-01-01,0.0517915934324265
2014-01-01,0.266619145870209
2015-01-01,0.25394731760025
2016-01-01,0.129485934972763
2017-01-01,0.111208952963352
2018-01-01,0.247989401221275
2019-01-01,0.146066397428513
2020-01-01,0.124463096261024
2021-01-01,0.0587539859116077
2022-01-01,0.140358164906502
