period,value
1996-01-01,1.03555142879486
1998-01-01,0.3500617146492
2000-01-01,1.22359979152679
2002-01-01,0.36293163895607
2003-01-01,1.16978526115417
2004-01-01,1.2183393239975
2005-01-01,1.00011491775513
2006-01-01,0.860106229782104
2007-01-01,0.617986261844635
2008-01-01,0.640764355659485
2009-01-01,0.685753643512726
2010-01-01,0.790275514125824
2011-01-01,0.849078357219696
2012-01-01,0.893705666065216
2013-01-01,0.85335773229599
2014-01-01,0.816450417041779
2015-01-01,0.837734758853912
2016-01-01,0.998592257499695
2017-01-01,0.974609792232513
2018-01-01,0.993263125419617
2019-01-01,0.906494319438934
2020-01-01,0.864660143852234
2021-01-01,0.831884622573853
2022-01-01,0.869225919246674
