period,value
1996-01-01,0.361694604158401
1998-01-01,1.0588550567627
2000-01-01,1.15730142593384
2002-01-01,0.831208944320679
2003-01-01,1.18648135662079
2004-01-01,1.12390494346619
2005-01-01,1.0276792049408
2006-01-01,0.926921546459198
2007-01-01,0.952527701854706
2008-01-01,1.11487662792206
2009-01-01,1.22328507900238
2010-01-01,1.15385591983795
2011-01-01,1.17473101615906
2012-01-01,1.22359883785248
2013-01-01,1.21254646778107
2014-01-01,0.977457761764526
2015-01-01,0.983597457408905
2016-01-01,0.884123742580414
2017-01-01,0.647981882095337
2018-01-01,0.649283885955811
2019-01-01,0.68427562713623
2020-01-01,0.66954380273819
2021-01-01,0.833261430263519
2022-01-01,0.958558142185211
