period,value
1996-01-01,0.449250608682632
1998-01-01,0.197645246982574
2000-01-01,0.0084470622241497
2002-01-01,0.0704177469015121
2003-01-01,0.0532155409455299
2004-01-01,-0.115211933851242
2005-01-01,0.0727133899927139
2006-01-01,-0.244654402136803
2007-01-01,0.277233392000198
2008-01-01,0.537688016891479
2009-01-01,0.485472977161407
2010-01-01,0.334105610847473
2011-01-01,0.234129071235657
2012-01-01,0.428087890148163
2013-01-01,0.249095499515533
2014-01-01,0.0742060318589211
2015-01-01,-0.0895711407065392
2016-01-01,-0.195148065686226
2017-01-01,-0.128823503851891
2018-01-01,-0.0129793277010322
2019-01-01,-0.178149864077568
2020-01-01,-0.201663821935654
2021-01-01,-0.332011014223099
2022-01-01,-0.100280806422234
