period,value
1996-01-01,0.964015007019043
1998-01-01,0.871309280395508
2000-01-01,0.975434422492981
2002-01-01,0.937275111675262
2003-01-01,0.994650185108185
2004-01-01,0.768757998943329
2005-01-01,0.875413298606873
2006-01-01,0.923421084880829
2007-01-01,0.975391387939453
2008-01-01,0.696017920970917
2009-01-01,0.919041454792023
2010-01-01,0.801757872104645
2011-01-01,0.912175714969635
2012-01-01,0.863251447677612
2013-01-01,0.894792199134827
2014-01-01,0.7689089179039
2015-01-01,0.748049259185791
2016-01-01,0.549646139144897
2017-01-01,0.601948618888855
2018-01-01,0.689086735248566
2019-01-01,0.667445123195648
2020-01-01,0.592546582221985
2021-01-01,0.597461223602295
2022-01-01,0.700785338878632
